"Source Name","Sample Name.x","Characteristics: organism","Factor Value: Spaceflight.x","Factor Value: Ecotype.x","Characteristics: genotype.x","Characteristics: Material Type.x","Characteristics: age.x","Characteristics: Seed Source.x","Protocol REF...10.x","Parameter Value: Canister and Position","Parameter Value: Hardware.x","Parameter Value: Growth Temperature.x","Parameter Value: growth environment.x","Parameter Value: Growth Medium.x","Parameter Value: light source.x","Parameter Value: light cycle.x","Parameter Value: Growth Time.x","Parameter Value: Quantity of Growth Medium","Parameter Value: container","Parameter Value: Number of seeds per container.x","Parameter Value: Container Diameter","Protocol REF...23.x","Parameter Value: Sample storage temperature.x","Parameter Value: Age at sample collection","Parameter Value: Sample Preservation Method.x","Comment: Original Submitted Sample Name.x","Sample Name.y","Comment: Original Submitted Sample Name.y","Characteristics: Organism.x","Characteristics: Material Type.y","Characteristics: Variety","Characteristics: genotype.y","Characteristics: developmental stage","Characteristics: age.y","Characteristics: Seed Source.y","Protocol REF...11","Factor Value: Spaceflight.y","Parameter Value: Hardware.y","Comment: Initiation Date","Comment: Completion Date","Parameter Value: light source.y","Parameter Value: Growth Temperature.y","Parameter Value: Growth Medium.y","Parameter Value: Light quality","Parameter Value: Light intensity.x","Parameter Value: light cycle.y","Parameter Value: Growth Time.y","Protocol REF...23.y","Parameter Value: sample preservation temperature","Factor Value: Sample Preservation Method","Sample Name.x","Characteristics: Organism.y","Factor Value: Ecotype.y","Factor Value: Spaceflight.x","Factor Value: Treatment","Characteristics: organism part","Characteristics: Seed Source.x","Characteristics: stratification exposure","Protocol REF...10.y","Parameter Value: light source.x","Parameter Value: Hardware.x","Parameter Value: growth environment.y","Parameter Value: Growth Time.x","Protocol REF...15.x","Parameter Value: Sample Preservation Method.y","Parameter Value: Sample Storage Temperature.x","Sample Name.y","Characteristics: Organism.x","Characteristics: ecotype.x","Factor Value: Organism Part","Factor Value: Spaceflight.y","Characteristics: Material Type.x","Protocol REF...8","Parameter Value: light source.y","Parameter Value: Light intensity.y","Parameter Value: Hardware.y","Parameter Value: growth environment.x","Parameter Value: growth time","Protocol REF...14","Protocol REF...15.y","Parameter Value: Age at harvest","Parameter Value: Sample preservation method","Parameter Value: Sample storage temperature.y","Comment: Seed source","Comment: Sample name notes","Comment: Original Submitted Sample Name","Sample Name","Characteristics: Organism.y","Characteristics: ecotype.y","Characteristics: Seed Source.y","Characteristics: Material Type.y","Characteristics: Launch Mission","Factor Value: Spaceflight","Factor Value: Genotype","Protocol REF...10","Parameter Value: Hardware","Parameter Value: light cycle","Parameter Value: growth environment.y","Parameter Value: Growth Medium","Parameter Value: Growth Time.y","Parameter Value: Quantity of growth medium","Parameter Value: Number of seeds per container.y","Parameter Value: light regimen","Protocol REF...19","Comment: Sample Description","Protocol REF...21","Parameter Value: Sample Preservation Method","Parameter Value: Sample Storage Temperature.y","Protocol REF...24","Parameter Value: ionizing radiation","Parameter Value: vehicle","Parameter Value: absorbed radiation dose","Parameter Value: absorbed radiation dose rate","Parameter Value: exposure duration","Parameter Value: ionizing radiation categorized by source"
"Whole Seedling","Atha_Cvi-0_sl-pool_GC_Rep1_R1-GC-C3","Arabidopsis thaliana","Ground Control","Cvi-0","Wild Type","Seedlings","8 day","Lehle Seeds (Round Rock, TX, USA)","growth protocol","C3","BRIC-PDFU (Petri Dish Fixation Unit)","24 degree Celsius","ISS-US Laboratory","sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7","continuous dark (no light) regimen","dark 24 hour","8 day","15 milliliter","Petri Dish",64,"60 millimeter","sample collection protocol","-80 degree Celsius","8 day","RNALater","Rep1-GC-C3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Whole Seedling","Atha_Ws-2_sl-pool_GC_Rep2_R1-GC-C4","Arabidopsis thaliana","Ground Control","Ws-2","Wild Type","Seedlings","8 day","Lehle Seeds (Round Rock, TX, USA)","growth protocol","C4","BRIC-PDFU (Petri Dish Fixation Unit)","24 degree Celsius","ISS-US Laboratory","sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7","continuous dark (no light) regimen","dark 24 hour","8 day","15 milliliter","Petri Dish",64,"60 millimeter","sample collection protocol","-80 degree Celsius","8 day","RNALater","Rep1-GC-C4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Whole Seedling","Atha_Ler-0_sl-pool_GC_Rep2_R1-GC-C5","Arabidopsis thaliana","Ground Control","Ler-0","Wild Type","Seedlings","8 day","Lehle Seeds (Round Rock, TX, USA)","growth protocol","C5","BRIC-PDFU (Petri Dish Fixation Unit)","24 degree Celsius","ISS-US Laboratory","sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7","continuous dark (no light) regimen","dark 24 hour","8 day","15 milliliter","Petri Dish",64,"60 millimeter","sample collection protocol","-80 degree Celsius","8 day","RNALater","Rep1-GC-C5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Whole Seedling","Atha_Ws-2_sl-pool_GC_Rep3_R1-GC-D1","Arabidopsis thaliana","Ground Control","Ws-2","Wild Type","Seedlings","8 day","Lehle Seeds (Round Rock, TX, USA)","growth protocol","D1","BRIC-PDFU (Petri Dish Fixation Unit)","24 degree Celsius","ISS-US Laboratory","sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7","continuous dark (no light) regimen","dark 24 hour","8 day","15 milliliter","Petri Dish",64,"60 millimeter","sample collection protocol","-80 degree Celsius","8 day","RNALater","Rep1-GC-D1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Whole Seedling","Atha_Cvi-0_sl-pool_GC_Rep2_R1-GC-D2","Arabidopsis thaliana","Ground Control","Cvi-0","Wild Type","Seedlings","8 day","Lehle Seeds (Round Rock, TX, USA)","growth protocol","D2","BRIC-PDFU (Petri Dish Fixation Unit)","24 degree Celsius","ISS-US Laboratory","sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7","continuous dark (no light) regimen","dark 24 hour","8 day","15 milliliter","Petri Dish",64,"60 millimeter","sample collection protocol","-80 degree Celsius","8 day","RNALater","Rep1-GC-D2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Whole Seedling","Atha_Ler-0_sl-pool_GC_Rep3_R1-GC-D3","Arabidopsis thaliana","Ground Control","Ler-0","Wild Type","Seedlings","8 day","Lehle Seeds (Round Rock, TX, USA)","growth protocol","D3","BRIC-PDFU (Petri Dish Fixation Unit)","24 degree Celsius","ISS-US Laboratory","sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7","continuous dark (no light) regimen","dark 24 hour","8 day","15 milliliter","Petri Dish",64,"60 millimeter","sample collection protocol","-80 degree Celsius","8 day","RNALater","Rep1-GC-D3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Whole Seedling","Atha_Ws-2_sl-pool_GC_Rep4_R1-GC-D4","Arabidopsis thaliana","Ground Control","Ws-2","Wild Type","Seedlings","8 day","Lehle Seeds (Round Rock, TX, USA)","growth protocol","D4","BRIC-PDFU (Petri Dish Fixation Unit)","24 degree Celsius","ISS-US Laboratory","sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7","continuous dark (no light) regimen","dark 24 hour","8 day","15 milliliter","Petri Dish",64,"60 millimeter","sample collection protocol","-80 degree Celsius","8 day","RNALater","Rep1-GC-D4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Whole Seedling","Atha_Cvi-0_sl-pool_GC_Rep3_R1-GC-D5","Arabidopsis thaliana","Ground Control","Cvi-0","Wild Type","Seedlings","8 day","Lehle Seeds (Round Rock, TX, USA)","growth protocol","D5","BRIC-PDFU (Petri Dish Fixation Unit)","24 degree Celsius","ISS-US Laboratory","sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7","continuous dark (no light) regimen","dark 24 hour","8 day","15 milliliter","Petri Dish",64,"60 millimeter","sample collection protocol","-80 degree Celsius","8 day","RNALater","Rep1-GC-D5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Whole Seedling","Atha_Ws-2_sl-pool_FLT_Rep5_R2-FL-C1","Arabidopsis thaliana","Space Flight","Ws-2","Wild Type","Seedlings","8 day","Lehle Seeds (Round Rock, TX, USA)","growth protocol","C1","BRIC-PDFU (Petri Dish Fixation Unit)","24 degree Celsius","ISS-US Laboratory","sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7","continuous dark (no light) regimen","dark 24 hour","8 day","15 milliliter","Petri Dish",64,"60 millimeter","sample collection protocol","-80 degree Celsius","8 day","RNALater","Rep2-FL-C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Whole Seedling","Atha_Ler-0_sl-pool_FLT_Rep4_R2-FL-C2","Arabidopsis thaliana","Space Flight","Ler-0","Wild Type","Seedlings","8 day","Lehle Seeds (Round Rock, TX, USA)","growth protocol","C2","BRIC-PDFU (Petri Dish Fixation Unit)","24 degree Celsius","ISS-US Laboratory","sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7","continuous dark (no light) regimen","dark 24 hour","8 day","15 milliliter","Petri Dish",64,"60 millimeter","sample collection protocol","-80 degree Celsius","8 day","RNALater","Rep2-FL-C2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Whole Seedling","Atha_Cvi-0_sl-pool_FLT_Rep4_R2-FL-C3","Arabidopsis thaliana","Space Flight","Cvi-0","Wild Type","Seedlings","8 day","Lehle Seeds (Round Rock, TX, USA)","growth protocol","C3","BRIC-PDFU (Petri Dish Fixation Unit)","24 degree Celsius","ISS-US Laboratory","sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7","continuous dark (no light) regimen","dark 24 hour","8 day","15 milliliter","Petri Dish",64,"60 millimeter","sample collection protocol","-80 degree Celsius","8 day","RNALater","Rep2-FL-C3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Whole Seedling","Atha_Ws-2_sl-pool_FLT_Rep6_R2-FL-C4","Arabidopsis thaliana","Space Flight","Ws-2","Wild Type","Seedlings","8 day","Lehle Seeds (Round Rock, TX, USA)","growth protocol","C4","BRIC-PDFU (Petri Dish Fixation Unit)","24 degree Celsius","ISS-US Laboratory","sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7","continuous dark (no light) regimen","dark 24 hour","8 day","15 milliliter","Petri Dish",64,"60 millimeter","sample collection protocol","-80 degree Celsius","8 day","RNALater","Rep2-FL-C4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Whole Seedling","Atha_Ler-0_sl-pool_FLT_Rep5_R2-FL-C5","Arabidopsis thaliana","Space Flight","Ler-0","Wild Type","Seedlings","8 day","Lehle Seeds (Round Rock, TX, USA)","growth protocol","C5","BRIC-PDFU (Petri Dish Fixation Unit)","24 degree Celsius","ISS-US Laboratory","sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7","continuous dark (no light) regimen","dark 24 hour","8 day","15 milliliter","Petri Dish",64,"60 millimeter","sample collection protocol","-80 degree Celsius","8 day","RNALater","Rep2-FL-C5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Whole Seedling","Atha_Ws-2_sl-pool_FLT_Rep7_R2-FL-D1","Arabidopsis thaliana","Space Flight","Ws-2","Wild Type","Seedlings","8 day","Lehle Seeds (Round Rock, TX, USA)","growth protocol","D1","BRIC-PDFU (Petri Dish Fixation Unit)","24 degree Celsius","ISS-US Laboratory","sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7","continuous dark (no light) regimen","dark 24 hour","8 day","15 milliliter","Petri Dish",64,"60 millimeter","sample collection protocol","-80 degree Celsius","8 day","RNALater","Rep2-FL-D1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Whole Seedling","Atha_Cvi-0_sl-pool_FLT_Rep5_R2-FL-D2","Arabidopsis thaliana","Space Flight","Cvi-0","Wild Type","Seedlings","8 day","Lehle Seeds (Round Rock, TX, USA)","growth protocol","D2","BRIC-PDFU (Petri Dish Fixation Unit)","24 degree Celsius","ISS-US Laboratory","sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7","continuous dark (no light) regimen","dark 24 hour","8 day","15 milliliter","Petri Dish",64,"60 millimeter","sample collection protocol","-80 degree Celsius","8 day","RNALater","Rep2-FL-D2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Whole Seedling","Atha_Ler-0_sl-pool_FLT_Rep6_R2-FL-D3","Arabidopsis thaliana","Space Flight","Ler-0","Wild Type","Seedlings","8 day","Lehle Seeds (Round Rock, TX, USA)","growth protocol","D3","BRIC-PDFU (Petri Dish Fixation Unit)","24 degree Celsius","ISS-US Laboratory","sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7","continuous dark (no light) regimen","dark 24 hour","8 day","15 milliliter","Petri Dish",64,"60 millimeter","sample collection protocol","-80 degree Celsius","8 day","RNALater","Rep2-FL-D3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Whole Seedling","Atha_Ws-2_sl-pool_FLT_Rep8_R2-FL-D4","Arabidopsis thaliana","Space Flight","Ws-2","Wild Type","Seedlings","8 day","Lehle Seeds (Round Rock, TX, USA)","growth protocol","D4","BRIC-PDFU (Petri Dish Fixation Unit)","24 degree Celsius","ISS-US Laboratory","sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7","continuous dark (no light) regimen","dark 24 hour","8 day","15 milliliter","Petri Dish",64,"60 millimeter","sample collection protocol","-80 degree Celsius","8 day","RNALater","Rep2-FL-D4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Whole Seedling","Atha_Cvi-0_sl-pool_FLT_Rep6_R2-FL-D5","Arabidopsis thaliana","Space Flight","Cvi-0","Wild Type","Seedlings","8 day","Lehle Seeds (Round Rock, TX, USA)","growth protocol","D5","BRIC-PDFU (Petri Dish Fixation Unit)","24 degree Celsius","ISS-US Laboratory","sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7","continuous dark (no light) regimen","dark 24 hour","8 day","15 milliliter","Petri Dish",64,"60 millimeter","sample collection protocol","-80 degree Celsius","8 day","RNALater","Rep2-FL-D5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Whole Seedling","Atha_Ws-2_sl-pool_GC_Rep5_R2-GC-C1","Arabidopsis thaliana","Ground Control","Ws-2","Wild Type","Seedlings","8 day","Lehle Seeds (Round Rock, TX, USA)","growth protocol","C1","BRIC-PDFU (Petri Dish Fixation Unit)","24 degree Celsius","ISS-US Laboratory","sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7","continuous dark (no light) regimen","dark 24 hour","8 day","15 milliliter","Petri Dish",64,"60 millimeter","sample collection protocol","-80 degree Celsius","8 day","RNALater","Rep2-GC-C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Whole Seedling","Atha_Ler-0_sl-pool_GC_Rep4_R2-GC-C2","Arabidopsis thaliana","Ground Control","Ler-0","Wild Type","Seedlings","8 day","Lehle Seeds (Round Rock, TX, USA)","growth protocol","C2","BRIC-PDFU (Petri Dish Fixation Unit)","24 degree Celsius","ISS-US Laboratory","sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7","continuous dark (no light) regimen","dark 24 hour","8 day","15 milliliter","Petri Dish",64,"60 millimeter","sample collection protocol","-80 degree Celsius","8 day","RNALater","Rep2-GC-C2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Whole Seedling","Atha_Cvi-0_sl-pool_GC_Rep4_R2-GC-C3","Arabidopsis thaliana","Ground Control","Cvi-0","Wild Type","Seedlings","8 day","Lehle Seeds (Round Rock, TX, USA)","growth protocol","C3","BRIC-PDFU (Petri Dish Fixation Unit)","24 degree Celsius","ISS-US Laboratory","sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7","continuous dark (no light) regimen","dark 24 hour","8 day","15 milliliter","Petri Dish",64,"60 millimeter","sample collection protocol","-80 degree Celsius","8 day","RNALater","Rep2-GC-C3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Whole Seedling","Atha_Ws-2_sl-pool_GC_Rep6_R2-GC-C4","Arabidopsis thaliana","Ground Control","Ws-2","Wild Type","Seedlings","8 day","Lehle Seeds (Round Rock, TX, USA)","growth protocol","C4","BRIC-PDFU (Petri Dish Fixation Unit)","24 degree Celsius","ISS-US Laboratory","sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7","continuous dark (no light) regimen","dark 24 hour","8 day","15 milliliter","Petri Dish",64,"60 millimeter","sample collection protocol","-80 degree Celsius","8 day","RNALater","Rep2-GC-C4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
